"pop=17.5" "pop=37.5" "pop=68" "pop=120" "pop=206" "pop=325.5" "pop=459.5" "pop=595" "pop=741" "pop=908" "pop=1179" "pop=4970"
18 47 77 150 196 269 464 552 687 965 1076 1631
12 32 54 154 156 283 499 614 743 980 1007 2371
12 30 74 107 220 386 403 584 771 866 1002 1634
21 26 56 88 195 391 449 537 689 945 1157 3005
14 26 74 115 156 376 481 549 733 905 1099 1513
12 47 71 142 171 375 517 573 671 959 1169 1548
22 42 56 118 254 273 409 578 735 957 1165 1613
15 45 70 143 167 284 482 603 744 833 1096 2281
15 46 55 109 243 262 409 660 685 826 1052 2318
25 37 52 150 254 355 411 553 799 973 1073 2225
11 46 86 88 162 293 398 620 805 934 1179 2456
22 38 82 153 161 329 444 574 735 951 1068 1522
18 47 51 141 226 262 507 577 813 831 1124 1437
22 36 66 130 164 295 479 649 702 839 1246 4828
22 39 81 92 257 318 421 658 700 828 1013 3968
11 27 79 129 237 318 424 616 667 871 1059 1410
24 38 55 147 239 367 469 528 672 920 1272 1659
12 31 70 100 159 280 516 664 712 824 1208 2822
17 31 53 133 181 382 466 634 676 980 1016 1550
22 33 51 149 159 374 508 528 768 953 1028 1772
15 48 58 116 236 336 458 585 762 871 1313 1399
15 50 57 100 182 366 521 644 739 859 1000 2396
16 44 56 122 215 309 513 599 702 950 1007 7533
13 36 53 130 241 353 397 561 790 902 1052 4740
13 43 75 98 245 390 443 532 778 846 1085 1424
25 43 78 119 244 273 501 537 749 970 1320 1373
14 37 71 104 218 267 452 606 778 869 1062 1768
25 44 70 103 200 391 404 531 786 847 1101 1540
22 38 67 144 178 282 479 583 742 917 1339 1495
15 44 73 97 245 352 436 601 814 883 1054 1722
14 50 70 118 256 332 464 574 817 957 1090 1690
18 36 56 102 205 304 473 579 781 982 1020 1504
17 30 53 115 203 309 402 529 714 893 1324 3948
17 29 74 99 223 266 457 613 700 903 1250 2396
16 29 68 137 249 361 495 568 746 979 1054 5704
24 49 63 90 224 375 437 552 673 908 1218 5814
18 40 83 140 241 383 468 544 755 973 1102 2719
19 38 59 150 208 274 448 562 774 881 1262 2639
19 29 77 109 161 339 456 639 788 871 1016 1545
12 26 59 130 210 293 466 617 702 860 1158 5024
16 38 60 123 169 277 443 534 784 850 1057 5119
21 40 69 136 239 289 505 584 726 858 1053 6295
15 44 71 90 177 273 493 567 755 944 1133 1488
15 30 58 98 171 350 406 529 813 985 1342 1696
17 39 72 126 171 284 458 541 797 961 1048 1366
15 38 66 142 182 366 421 613 679 875 1172 1559
22 48 73 146 170 286 489 611 689 869 1291 1514
18 27 63 90 169 382 447 555 673 898 1237 1370
13 48 61 94 201 314 459 564 734 825 1190 3129
24 43 62 112 209 340 457 595 799 893 1344 2201
21 39 70 89 230 344 483 582 804 985 1011 2501
25 33 70 111 226 365 462 626 720 828 1209 1715
23 38 52 113 184 303 426 548 665 975 1109 1857
16 50 52 137 175 322 501 657 811 845 1244 1621
18 26 58 89 159 286 447 658 801 877 1109 2523
22 30 69 117 184 261 466 619 679 843 1227 1531
13 28 71 145 239 378 430 602 731 894 1159 1684
25 38 85 131 233 317 510 530 678 943 1133 1994
23 32 78 92 160 371 514 569 701 990 1163 2042
17 48 65 105 193 343 474 559 723 831 1189 1664
24 40 67 147 172 277 429 602 717 955 1289 1805
20 41 58 147 191 378 486 599 688 946 1147 1966
24 45 65 103 223 307 490 552 805 975 1030 2916
17 33 74 154 172 373 468 531 717 960 1028 1362
13 32 86 111 210 341 409 636 779 991 1189 1588
15 33 66 96 225 368 406 547 725 924 1281 1548
19 38 60 140 188 390 512 607 671 827 1039 1411
14 29 62 106 207 318 506 581 701 987 1046 1870
13 30 61 129 189 373 441 649 717 948 1062 2614
14 32 78 120 161 335 431 656 797 819 1178 3512
11 41 69 107 160 320 451 619 752 957 1203 1604
25 48 58 119 165 335 484 575 736 891 1067 1465
19 29 75 93 248 367 401 560 802 998 1029 1419
22 26 54 135 200 374 431 637 694 846 1073 1657
25 39 54 119 191 393 426 656 747 855 1037 1435
16 47 73 101 221 356 432 638 713 979 1283 1772
20 35 73 93 235 293 432 639 777 842 1085 1525
16 33 82 148 165 288 419 571 762 837 1170 1436
11 31 54 143 239 282 465 575 715 916 1144 1709
11 50 68 114 174 337 417 633 676 936 1126 1617
18 26 63 87 256 358 418 533 723 991 1344 1366
13 49 70 103 234 279 516 652 722 856 1255 1552
25 26 59 120 220 268 416 629 747 903 1200 1625
22 42 52 110 228 306 465 621 748 853 1004 1713
12 33 58 107 233 383 477 644 712 842 1108 1465
12 42 84 148 179 372 447 548 783 849 1079 1551
21 47 57 146 187 347 455 551 678 843 1012 1526
23 35 55 117 226 259 455 608 787 864 1274 1564
16 41 58 99 217 387 525 651 783 985 1038 1875
23 33 81 120 228 325 450 547 750 925 1104 2872
15 35 81 129 162 271 460 662 778 938 1170 1683
11 42 58 98 212 275 482 640 816 842 1281 1489
11 31 83 113 206 380 443 561 784 828 1258 1509
15 38 66 141 172 374 400 569 723 935 1139 1637
12 47 53 152 241 380 469 588 739 916 1151 2057
12 29 78 114 168 288 402 576 758 887 1271 2198
25 48 62 95 225 383 494 562 807 824 1297 1361
20 34 61 94 238 263 402 604 724 852 1195 1423
20 40 78 135 200 329 444 606 709 823 1290 1665
20 48 57 97 237 334 431 599 689 870 1240 2035
20 44 53 138 240 391 445 643 806 917 1097 2575
20 35 54 151 156 336 511 653 757 964 1142 1423
17 28 60 97 187 293 504 642 754 892 1029 1757
17 27 51 137 232 373 419 544 787 850 1301 1615
12 28 76 117 169 389 407 638 747 854 1066 1892
11 39 58 89 193 382 503 568 743 910 1028 3344
12 34 76 100 175 385 497 650 769 971 1277 1379
20 46 63 109 192 270 406 629 781 829 1254 2961
17 48 62 107 175 264 421 538 750 853 1241 1380
21 37 86 108 244 331 484 579 784 833 1129 1438
25 47 53 114 219 309 468 607 757 819 1263 1580
20 46 66 100 194 354 411 602 818 832 1281 1397
21 38 59 96 157 269 472 588 723 937 1165 4024
24 34 55 135 212 334 520 632 665 912 1281 1635
13 27 52 92 197 381 511 598 817 967 1030 3456
12 28 52 127 177 282 431 583 788 846 1092 1612
16 40 79 134 183 350 448 543 668 898 1058 2215
23 42 61 110 221 302 418 568 759 931 1022 1361
19 38 63 135 162 320 475 534 734 915 1085 1672
24 47 66 104 158 301 439 631 790 879 1274 1386
21 27 66 141 180 355 492 542 700 877 1151 1904
13 50 66 137 211 299 525 553 762 876 1164 1705
15 40 82 91 257 386 495 558 711 918 1074 1437
15 29 69 132 175 326 506 626 689 956 1023 1723
19 33 86 118 217 280 431 622 681 943 1272 1866
12 50 81 139 192 383 458 589 681 852 1022 1987
21 43 59 118 191 350 420 664 780 995 1019 1494
16 34 71 107 160 368 436 561 677 920 1046 1487
11 49 69 114 222 261 458 527 786 973 1060 1870
11 44 66 101 234 270 512 542 814 933 1059 3802
11 38 81 94 173 286 526 550 749 882 1181 1859
23 40 56 119 185 299 441 536 738 938 1133 1429
13 40 74 93 181 357 396 655 810 860 1093 1989
25 32 75 121 162 300 428 594 811 848 1246 1646
21 28 80 138 191 265 444 621 723 933 1217 1384
16 27 81 133 242 350 450 599 667 960 1164 1729
11 39 51 147 257 343 423 573 814 821 1148 1744
11 49 68 122 236 315 511 535 811 842 1010 2660
13 45 61 103 182 285 413 658 779 903 1019 2497
18 39 62 110 225 389 394 649 709 864 1031 1400
21 50 77 97 244 388 437 609 744 866 1003 1793
11 40 83 116 190 333 523 626 749 877 1034 2209
23 45 64 94 247 355 397 625 768 851 1035 1959
16 36 69 127 176 325 416 562 745 942 1101 1618
20 30 52 125 172 300 430 595 789 821 1214 1551
18 30 64 124 237 349 412 582 785 949 1281 1396
18 28 86 103 231 327 468 658 772 910 1294 1668
24 35 75 122 157 307 470 617 742 883 1073 2230
21 32 62 108 200 291 459 645 689 858 1000 1549
18 43 65 91 165 285 504 640 737 883 1089 1941
18 29 72 113 240 373 478 620 692 845 1060 1412
23 44 67 121 174 332 415 637 705 912 1185 1467
15 26 76 131 227 375 514 586 808 919 1024 2355
11 44 77 122 191 326 470 615 776 885 1030 1882
12 32 77 111 193 324 479 557 749 960 1017 1624
23 29 85 153 258 270 411 623 722 928 1090 1718
16 37 51 125 225 261 418 635 787 851 1058 2171
11 26 55 94 165 317 437 633 727 937 1293 1436
13 42 55 109 188 266 459 655 812 939 1339 1952
23 47 54 90 219 377 492 643 763 888 1147 2002
15 34 55 135 163 352 442 541 710 899 1252 2051
25 45 64 119 156 317 451 585 768 879 1033 1361
24 48 82 121 246 386 487 629 774 845 1037 1840
24 34 76 101 197 354 396 657 744 900 1347 4418
16 29 73 129 168 336 491 625 776 825 1064 2657
13 37 67 126 226 267 488 547 745 878 1236 1575
11 35 62 121 247 359 469 617 746 830 1206 1799
16 50 77 99 209 341 501 570 817 968 1101 1533
13 36 67 109 252 308 455 602 728 878 1069 1560
25 26 64 141 186 331 469 651 781 978 1143 1817
11 43 59 130 179 356 521 571 721 974 1118 1567
16 28 51 136 193 350 492 609 812 908 1187 2757
17 46 72 154 240 326 471 562 726 911 1049 1483
22 41 57 109 166 350 472 533 680 901 1166 2343
13 30 57 128 219 349 420 566 742 963 1041 5396
12 46 62 115 220 375 442 614 760 859 1352 3514
14 50 74 95 209 311 399 623 806 941 1034 1465
23 31 74 135 200 321 426 549 726 884 1098 1518
11 47 51 124 233 272 464 571 678 930 1193 1505
19 36 65 94 246 301 451 550 783 845 1258 1978
23 32 58 124 162 310 424 612 683 969 1026 1947
13 40 76 94 229 318 401 621 715 875 1017 1570
23 34 61 148 179 360 433 551 759 970 1051 1417
21 31 61 120 238 288 504 612 797 837 1079 1552
12 38 66 131 219 362 505 589 680 981 1141 1825
14 32 51 105 187 377 526 557 734 981 1037 2117
22 36 64 149 155 351 512 546 797 840 1318 2437
12 26 59 133 162 369 512 544 732 939 1345 1384
13 42 51 121 243 393 428 611 786 879 1081 1649
13 31 52 125 195 279 400 639 711 819 1276 1538
18 27 59 95 228 340 484 616 713 908 1129 1418
19 49 83 120 168 375 434 623 763 955 1144 1997
21 26 74 97 157 386 409 630 755 864 1185 1921
11 26 67 97 245 309 415 557 737 891 1056 1379
23 41 78 107 155 273 516 561 776 916 1110 1388
23 48 71 135 195 363 510 646 676 832 1023 1738
13 27 68 124 163 302 395 530 753 977 1066 1492
18 43 67 119 256 265 404 576 803 990 1105 2679
11 32 59 106 232 307 417 645 677 948 1024 2036
19 31 53 87 159 345 449 577 667 952 1138 1872
16 42 75 105 189 333 415 642 818 910 1112 1752
22 50 57 91 256 312 469 602 771 959 1267 1719
14 27 83 97 188 316 471 663 711 955 1277 1791
15 31 76 115 239 285 504 538 742 857 1114 2576
12 36 63 127 190 272 488 609 800 939 1151 1744
17 44 83 130 257 359 395 625 793 979 1289 1593
21 37 81 114 228 335 400 568 718 994 1179 1417
15 47 74 117 231 387 467 638 706 947 1153 1590
14 34 65 151 205 376 461 627 671 855 1010 2328
14 34 64 121 176 327 473 661 701 829 1122 1484
21 28 60 131 157 294 452 565 703 849 1135 2082
23 29 51 115 255 299 450 567 731 855 1133 2644
17 44 54 131 254 330 480 618 693 876 1081 3095
22 30 77 103 206 351 526 587 771 902 1046 1371
21 26 79 116 242 264 515 538 798 959 1241 1629
17 30 80 93 243 312 403 536 682 876 1198 2226
24 31 51 116 177 268 447 539 738 922 1163 1732
16 28 67 120 258 337 463 623 729 824 1084 1546
16 33 68 126 187 380 453 630 767 961 1311 1464
12 45 73 98 223 297 431 636 729 838 1027 2538
22 45 68 92 224 353 504 662 790 897 1118 1765
16 26 70 122 186 381 397 587 766 836 1151 2005
15 44 69 140 179 359 483 563 736 925 1051 2666
19 32 83 99 229 266 513 588 787 825 1301 1460
17 27 76 92 177 393 401 562 770 842 1214 2636
12 49 61 135 244 266 472 634 814 977 1320 3761
24 26 60 97 174 260 466 613 815 856 1144 2221
24 36 75 118 250 346 396 601 715 845 1355 1487
18 30 69 105 181 270 467 610 668 944 1077 1620
11 42 69 97 169 323 492 652 759 900 1092 1704
12 35 72 101 167 324 402 554 687 861 1070 2138
21 34 57 118 181 296 478 602 774 938 1008 1763
13 39 60 138 219 261 414 573 667 887 1009 1473
13 30 83 154 170 272 514 606 723 842 1125 2088
14 33 69 122 191 377 495 658 807 878 1031 1728
11 46 54 130 218 315 406 548 752 928 1014 1388
19 39 65 95 220 316 437 661 732 922 1053 2553
25 33 79 128 156 368 506 609 800 960 1082 2959
23 49 73 152 213 301 420 619 768 957 1007 3764
21 40 55 105 246 273 526 604 785 861 1215 2229
13 27 74 118 233 300 517 579 688 849 1117 2286
17 42 54 129 158 328 459 556 807 850 1238 1384
24 33 86 147 240 259 476 592 792 827 1354 1467
15 35 62 104 241 375 414 620 708 963 1037 1474
17 40 76 111 242 280 518 589 724 887 1050 2254
18 30 69 128 198 312 467 635 760 862 1310 1548
16 33 61 139 168 345 396 561 818 960 1217 2704
16 34 69 114 213 325 419 599 750 981 1337 3140
14 45 53 140 193 322 427 577 751 905 1144 1374
17 34 64 137 192 313 487 532 726 869 1207 2821
25 38 86 105 200 277 427 646 760 892 1202 1560
13 46 84 148 228 287 406 582 767 822 1215 1532
20 27 60 129 225 322 402 642 801 831 1171 1488
22 43 68 123 219 332 405 600 738 841 1078 1421
18 50 70 92 230 356 427 660 731 946 1123 1730
13 45 78 109 189 354 494 559 731 892 1033 2638
15 27 62 137 176 316 470 597 772 826 1168 1392
22 29 79 95 252 348 472 605 674 927 1264 2438
21 39 67 103 166 292 522 655 779 855 1014 2161
20 27 66 88 230 326 448 608 703 835 1324 1491
23 37 52 118 170 378 412 628 788 912 1196 1406
19 46 55 154 240 333 414 534 769 885 1167 1595
24 26 82 88 198 325 449 649 781 978 1016 1519
23 34 72 91 195 268 424 562 701 878 1132 1800
22 48 69 132 208 272 473 651 711 899 1032 1567
17 36 69 115 191 344 397 650 803 997 1008 1650
21 31 62 125 201 364 446 566 772 916 1176 2409
22 36 82 120 206 354 522 653 736 920 1170 2546
25 37 60 140 158 341 417 571 774 909 1041 2058
25 27 68 113 193 363 505 635 750 838 1119 1538
23 28 63 111 169 293 411 650 733 820 1025 1504
22 26 67 98 175 271 460 565 754 857 1052 4303
16 35 73 87 248 390 436 606 780 887 1095 1829
13 28 65 106 254 295 396 605 701 903 1110 2627
14 39 54 95 240 346 507 585 705 982 1080 1397
12 48 56 134 175 320 524 624 681 977 1069 4734
11 36 52 140 214 313 463 589 717 968 1204 4391
18 37 58 130 177 321 421 548 785 890 1075 2762
17 29 57 122 158 371 430 660 690 931 1287 1532
13 44 65 90 160 378 454 537 680 910 1183 1728
20 38 70 108 193 349 525 560 800 980 1170 1820
20 48 71 117 194 338 407 658 814 874 1121 1530
20 32 77 152 229 375 408 629 765 892 1096 4524
25 43 52 93 199 296 426 654 756 957 1103 1630
11 39 64 104 209 374 504 588 712 908 1294 2449
18 35 58 103 226 354 524 647 739 862 1173 4589
19 36 68 107 168 302 462 581 707 937 1316 2088
24 29 85 92 159 374 434 561 809 951 1322 1621
12 35 52 93 242 279 425 589 743 961 1222 1685
20 36 85 94 183 371 486 588 680 869 1159 1953
21 48 82 109 199 294 479 555 798 987 1089 1481
14 29 58 123 178 280 433 553 697 834 1138 2577
14 28 82 127 187 382 399 625 681 989 1069 1407
18 33 76 154 159 374 474 557 726 877 1110 1858
21 37 73 143 205 325 481 582 755 995 1317 1417
12 35 54 109 223 263 511 540 758 904 1346 3172
12 36 73 140 211 313 485 571 755 867 1194 3425
17 34 82 114 209 354 496 541 754 909 1003 1456
14 41 68 104 171 261 490 583 752 931 1005 2513
13 44 59 152 160 271 520 611 768 837 1017 2016
16 42 53 99 211 301 455 621 701 910 1007 1773
13 28 72 94 247 276 491 585 691 857 1206 1551
25 34 69 107 180 332 465 652 754 991 1083 1837
12 50 64 105 192 329 419 595 755 897 1090 1488
20 26 76 102 172 377 498 635 793 948 1248 2005
13 29 77 142 234 285 465 551 672 953 1327 1697
20 34 56 143 178 364 452 551 790 961 1118 1487
11 46 62 98 229 262 494 661 706 903 1287 2536
17 42 83 106 197 325 502 646 817 889 1040 2211
12 44 78 106 156 323 480 559 678 855 1196 2397
24 33 78 97 229 355 449 638 717 843 1137 2603
14 41 52 89 194 375 506 569 735 834 1127 1549
12 29 54 98 239 375 514 531 780 888 1130 1636
15 42 80 141 238 301 481 617 768 958 1336 2165
18 38 61 152 206 381 449 555 767 994 1027 1377
19 36 51 92 244 297 450 588 703 921 1233 1411
13 41 69 138 212 355 521 652 802 866 1013 1593
23 35 79 145 256 262 491 580 699 913 1101 2129
12 43 51 138 185 292 469 578 789 934 1011 1920
23 43 64 119 160 387 513 632 720 861 1206 1730
16 28 67 120 252 310 403 604 716 823 1224 4268
15 29 56 91 168 275 468 635 723 927 1053 2922
17 28 73 88 168 265 427 633 681 837 1160 2586
11 34 55 90 193 267 448 573 673 911 1069 1436
13 39 80 112 189 292 473 575 709 860 1053 1942
23 32 73 94 223 333 516 652 677 908 1321 2546
21 29 51 146 238 388 428 614 775 869 1038 3480
12 31 65 150 216 376 443 658 803 830 1193 1956
15 29 79 94 173 332 442 634 764 990 1075 1924
17 49 85 91 203 307 451 633 729 998 1100 1456
19 28 52 96 157 387 458 628 798 844 1040 1551
14 41 57 105 165 308 522 566 730 898 1045 1599
19 30 52 141 172 373 521 654 694 948 1029 1538
23 27 67 151 222 382 440 646 696 979 1074 1636
18 48 73 149 161 327 405 529 729 951 1027 1525
17 47 55 148 196 266 407 562 671 987 1141 2462
