"pop=13" "pop=20" "pop=29" "pop=40.5" "pop=55" "pop=72" "pop=94.5" "pop=124.5" "pop=161" "pop=208" "pop=264.5" "pop=328.04" "pop=392.04" "pop=455" "pop=521.5" "pop=587.72" "pop=653.72" "pop=723.06" "pop=798.06" "pop=877.5" "pop=968.32" "pop=1088.82" "pop=1269.16" "pop=1618.24" "pop=5218.58"
16 18 34 41 57 69 82 139 144 224 245 347 397 476 494 618 658 708 836 849 931 1080 1281 1547 2200
13 23 25 43 60 70 101 126 176 194 236 341 405 449 535 585 676 696 807 915 991 1044 1284 1549 2014
14 17 32 36 62 69 101 122 143 202 239 362 377 444 521 589 682 708 780 918 950 1042 1338 1577 2095
11 19 34 37 60 76 93 121 174 218 246 332 414 439 546 562 635 714 768 879 976 1098 1244 1562 2141
12 19 34 38 56 66 83 114 149 209 292 311 380 423 496 614 659 741 830 887 928 1042 1202 1510 2910
12 24 28 41 49 66 104 123 144 194 254 327 387 448 493 559 678 744 814 872 974 1051 1363 1382 1984
16 19 27 40 62 79 104 113 151 189 260 329 406 423 546 567 641 706 830 851 966 1109 1362 1428 2503
13 21 32 47 54 66 93 122 147 204 268 316 413 469 490 592 687 731 819 906 921 1085 1182 1497 2372
15 24 27 42 56 66 94 127 155 214 289 314 409 453 555 586 632 720 811 888 1015 1032 1330 1435 1981
11 23 28 41 60 81 82 130 161 187 243 337 403 447 513 570 643 705 824 893 931 1033 1321 1400 1867
12 17 33 46 56 70 91 124 165 207 259 304 419 438 503 589 632 706 798 839 937 1031 1185 1516 2103
13 20 28 40 52 74 89 137 166 228 253 362 411 465 490 609 677 694 810 855 1018 1074 1304 1583 1998
11 19 25 47 62 78 94 113 173 205 275 314 410 473 554 600 621 725 760 869 935 1087 1239 1624 1993
15 22 33 45 53 67 107 126 167 198 266 362 413 429 539 608 685 732 801 903 955 1038 1175 1491 2412
11 24 31 39 54 79 101 124 162 225 284 346 374 427 524 610 664 736 791 854 990 1108 1290 1459 1904
13 22 25 46 57 71 108 133 162 223 287 323 392 456 502 565 677 736 779 859 995 1120 1278 1425 1894
14 24 29 37 53 64 95 117 164 230 271 325 403 475 533 577 683 696 833 897 1004 1135 1359 1647 1894
16 19 26 35 56 81 86 120 145 182 250 315 399 470 504 599 643 717 787 843 958 1103 1243 1505 2013
12 19 27 39 50 66 91 141 150 221 284 359 413 474 547 584 685 735 770 909 988 1090 1205 1474 2392
16 17 27 38 61 78 88 131 150 218 244 350 402 450 526 617 640 748 800 915 959 1072 1174 1646 3239
16 23 28 46 54 66 102 118 151 212 251 348 385 468 541 564 648 707 760 840 1018 1028 1265 1622 1950
12 17 34 37 55 72 87 118 148 195 266 330 383 474 550 561 684 732 835 875 936 1108 1195 1479 2096
12 18 26 39 53 81 88 123 180 194 244 311 387 456 537 585 638 698 804 873 939 1133 1190 1382 2982
11 21 27 44 62 66 89 116 168 211 236 349 364 441 519 564 627 721 765 839 962 1094 1166 1486 2346
14 21 32 39 53 74 91 114 173 222 258 308 410 487 551 587 672 754 829 911 921 1130 1266 1441 1904
15 17 25 37 61 67 85 117 143 218 271 302 411 479 512 577 669 723 798 862 978 1060 1368 1497 1883
14 18 32 41 59 70 84 129 173 207 271 314 370 426 493 556 625 698 803 869 994 1106 1362 1537 1976
14 21 25 42 53 81 108 139 160 227 281 349 369 437 523 605 635 694 787 840 969 1053 1303 1421 2000
13 17 27 46 57 72 103 120 147 198 277 298 390 427 548 587 673 745 796 853 988 1123 1238 1685 1966
11 21 28 46 54 65 104 121 165 198 258 345 382 461 508 601 683 699 783 890 951 1095 1241 1459 1916
16 22 26 36 61 66 91 135 143 194 272 295 402 433 526 601 634 737 809 856 931 1111 1250 1421 1899
11 21 26 40 53 78 106 140 170 211 286 332 420 436 492 619 633 755 760 889 954 1052 1302 1501 2209
12 19 28 46 49 75 103 136 171 189 275 336 375 449 496 587 673 750 773 840 1011 1060 1303 1773 1922
16 18 26 45 62 67 83 116 147 203 274 327 419 449 547 618 642 688 771 841 955 1022 1253 1616 2119
12 21 33 45 53 64 84 122 169 187 289 303 365 423 509 614 627 753 792 899 1009 1060 1286 1525 2515
11 22 33 45 57 64 107 118 158 206 278 306 400 433 507 602 658 696 785 858 1015 1073 1228 1403 2678
14 17 34 37 53 74 100 125 173 187 242 361 364 467 517 569 661 758 788 878 998 1030 1302 1428 1895
13 17 33 38 55 80 85 118 148 198 259 298 415 484 510 604 660 702 797 887 958 1145 1306 1444 2142
12 23 31 38 62 71 108 122 165 222 289 297 408 457 491 609 662 721 772 891 963 1067 1250 1750 1926
13 21 34 43 60 71 92 136 163 195 247 333 422 473 528 561 646 715 760 866 957 1137 1243 1404 2059
11 17 26 40 63 79 95 139 162 191 256 319 390 469 537 616 627 699 779 867 988 1095 1231 1434 2661
13 22 32 35 57 74 107 127 148 214 290 328 402 444 495 613 652 707 811 873 941 1048 1358 1472 1999
16 17 30 37 54 77 94 133 171 208 255 310 406 448 554 557 630 708 830 839 986 1054 1319 1816 1915
15 20 29 39 49 78 108 127 179 222 262 297 386 425 555 561 664 704 815 888 961 1070 1215 1493 2371
12 22 28 39 58 66 84 116 152 211 260 322 389 488 522 612 630 707 800 902 961 1110 1275 1416 3005
11 18 30 40 62 78 93 140 149 209 266 314 379 464 516 606 682 709 815 893 939 1021 1200 1583 2281
16 18 33 38 53 67 86 135 151 219 248 357 419 461 548 604 650 712 784 876 951 1077 1265 1409 2318
13 22 32 42 57 73 90 130 170 226 236 329 384 440 492 610 668 748 787 847 1005 1052 1242 1810 2225
15 24 29 42 51 66 96 119 160 216 240 344 409 477 529 591 621 744 820 894 928 1081 1300 1421 2456
13 23 25 38 54 70 85 120 152 217 238 339 405 451 517 619 683 753 798 893 936 1103 1251 1720 4828
15 18 32 39 63 64 108 129 181 214 242 311 411 462 505 581 646 745 773 853 919 1027 1228 1513 3968
11 24 32 39 49 77 88 109 170 195 249 352 422 474 517 609 641 742 782 907 934 1066 1261 1602 2822
14 17 27 43 49 72 95 128 147 190 249 302 364 484 554 587 634 735 763 842 983 1052 1350 1390 2396
15 20 34 35 54 71 96 111 147 226 288 344 382 485 536 619 656 698 784 903 978 1042 1245 1500 7533
13 24 25 47 59 74 82 127 152 197 238 339 389 471 500 604 627 725 785 918 1002 1056 1354 1429 4740
16 20 28 40 61 68 104 121 159 232 276 308 387 477 518 598 642 725 771 891 921 1144 1364 1612 3948
12 23 32 36 56 65 82 123 155 203 258 322 381 468 515 603 660 701 822 854 971 1085 1365 1384 2396
16 19 30 36 62 77 103 109 158 184 278 311 409 478 543 581 630 697 799 842 972 1100 1165 1688 5704
13 23 27 47 54 64 86 117 173 186 248 354 412 471 553 556 621 742 805 878 929 1051 1166 1699 5814
14 23 30 42 63 65 107 122 155 186 236 344 367 440 524 599 682 735 813 857 994 1069 1164 1473 2719
11 21 27 39 56 75 104 116 166 192 268 312 422 464 507 569 677 699 826 849 989 1078 1215 1728 2639
14 24 30 44 63 70 92 130 152 235 285 310 386 449 491 601 646 757 820 904 965 1026 1245 1444 5024
15 20 30 44 48 73 104 121 178 182 250 350 391 481 494 568 668 698 768 891 980 1084 1205 1628 5119
12 17 30 41 52 70 101 118 160 186 264 336 398 482 531 595 638 735 819 887 945 1135 1335 1573 6295
11 20 25 47 49 77 107 119 147 220 277 352 376 444 502 615 629 705 762 849 959 1050 1185 1559 3129
15 17 25 39 61 78 88 116 159 189 273 321 375 479 542 599 660 727 790 884 957 1033 1169 1690 2201
11 21 27 45 58 65 88 125 155 214 289 340 416 424 516 568 680 727 837 907 973 1027 1165 1625 2501
16 24 30 43 56 75 92 135 159 196 253 335 405 469 535 618 649 710 778 869 934 1077 1179 1443 2523
16 18 31 35 59 77 100 115 153 220 255 314 399 466 496 575 658 740 778 853 951 1062 1246 1823 1994
12 18 32 36 51 74 84 118 170 195 260 331 367 458 542 614 664 737 786 847 920 1079 1272 1626 2042
12 21 30 40 48 74 100 109 164 226 241 309 403 443 539 584 634 693 835 859 980 1040 1208 1804 1966
14 22 26 44 59 71 98 141 151 182 237 299 406 452 499 573 644 743 814 875 953 1024 1313 1489 2916
12 22 26 39 49 70 104 130 176 215 265 354 382 479 517 578 684 689 817 918 950 1124 1320 1690 1870
15 18 25 38 57 66 103 129 160 218 251 344 374 436 507 603 639 733 781 859 1000 1035 1339 1808 2614
15 22 25 36 54 81 97 133 156 200 253 297 366 464 543 620 626 735 823 873 970 1110 1324 1650 3512
11 22 27 46 50 79 102 116 142 205 280 314 419 473 516 574 657 744 820 866 1014 1076 1250 1654 1875
11 24 31 36 56 70 99 122 145 203 278 328 408 457 508 577 658 735 774 905 957 1157 1218 1389 2872
12 17 31 36 56 75 90 130 156 223 269 355 390 437 521 616 636 702 788 839 982 1099 1262 1671 2057
15 22 33 47 50 78 90 119 171 224 283 355 391 468 513 585 649 700 784 871 979 1096 1342 1654 2198
15 22 25 47 55 71 98 118 167 208 254 329 403 448 501 599 656 712 813 871 973 1052 1172 1383 2035
16 18 25 42 52 70 86 115 162 210 273 295 421 456 533 561 674 739 797 859 1009 1073 1291 1560 2575
13 17 30 45 51 67 82 137 161 182 284 318 403 466 529 606 668 702 799 902 944 1068 1237 1467 1892
13 17 29 46 55 73 90 140 164 201 243 318 409 443 543 583 637 749 804 846 985 1124 1190 1536 3344
14 24 25 37 53 70 94 109 154 209 262 336 375 458 550 601 656 742 811 869 961 1059 1344 1399 2961
15 18 29 46 50 74 89 130 159 230 254 309 409 447 533 574 638 714 801 847 985 1028 1209 1437 4024
14 19 29 38 51 68 89 123 152 226 293 353 411 459 495 579 639 700 831 917 1013 1052 1244 1477 3456
16 19 26 47 58 77 92 136 181 184 262 352 398 457 505 613 633 746 805 883 975 1085 1227 1706 2215
12 21 30 36 57 69 83 126 159 184 257 332 383 483 493 568 652 755 779 893 943 1062 1163 1413 1904
16 17 27 39 56 71 105 112 147 233 280 304 421 462 552 562 629 702 797 903 990 1101 1189 1837 1866
15 22 33 38 53 72 103 111 150 193 237 309 366 426 537 617 687 726 825 908 1007 1054 1289 1608 1987
15 18 25 44 48 66 96 113 154 191 239 361 382 447 549 584 621 755 820 881 955 1090 1189 1504 1870
15 24 26 36 56 73 106 137 178 223 236 339 365 466 489 567 644 689 802 871 946 1020 1281 1578 3802
13 21 30 43 53 70 107 117 142 210 241 350 378 430 553 613 680 734 777 860 975 1054 1178 1387 1859
16 23 28 43 63 70 93 131 143 225 245 314 397 474 501 611 651 720 762 850 1002 1102 1203 1467 1989
13 18 32 37 59 69 101 111 161 188 244 340 371 429 510 564 686 731 827 858 960 1158 1364 1465 2660
13 22 33 44 59 71 93 140 150 207 245 344 404 486 514 595 662 701 835 875 991 1057 1283 1497 2497
15 23 32 38 60 78 87 129 169 189 273 303 378 468 528 582 640 723 831 869 924 1053 1170 1631 2209
14 17 33 44 48 65 103 120 177 200 267 322 402 441 490 619 677 717 783 898 987 1133 1344 1634 1959
13 24 29 36 50 67 85 119 153 191 282 317 406 431 512 602 669 688 787 893 948 1048 1255 1513 2230
14 20 30 40 58 65 86 135 171 221 256 343 373 451 528 569 643 717 833 845 957 1109 1200 1548 1941
11 24 25 38 63 74 107 119 171 235 249 307 421 484 506 559 653 725 826 877 998 1109 1274 1613 2355
16 17 32 38 61 66 99 114 170 234 241 341 368 431 532 602 642 701 783 843 979 1159 1170 1522 1882
16 19 29 40 50 78 98 120 169 220 266 318 390 426 537 599 638 717 778 894 936 1133 1281 1437 2171
11 19 26 44 62 69 95 110 147 228 239 335 373 432 531 607 650 752 816 891 991 1147 1258 1410 1952
11 22 33 39 49 75 94 117 149 233 274 320 367 432 516 581 629 736 784 846 1013 1030 1271 1659 2002
13 20 31 38 52 73 82 120 175 187 293 335 374 465 529 619 671 694 831 855 985 1028 1297 1550 2051
12 18 26 43 52 73 97 129 159 226 277 356 393 465 552 575 632 747 807 842 925 1039 1195 1772 4418
12 22 26 39 58 68 97 113 144 217 289 337 383 477 525 560 687 713 828 916 938 1046 1290 1399 2657
16 21 25 38 48 70 84 141 160 228 273 358 372 447 544 571 671 715 824 856 1016 1062 1240 1424 2757
15 23 33 38 48 81 89 114 172 212 284 306 409 455 494 575 631 723 806 903 935 1067 1367 1768 2343
11 23 33 40 50 81 100 135 172 206 286 347 387 455 534 608 626 722 787 853 1000 1029 1301 1540 5396
11 20 31 41 58 66 107 138 150 225 239 325 406 450 529 561 622 747 769 842 1007 1073 1277 1495 3514
15 20 29 45 60 78 108 137 142 200 286 329 380 460 511 569 685 748 781 849 964 1037 1254 1722 1978
12 20 34 38 48 78 100 117 146 187 261 334 374 482 504 588 664 712 784 843 971 1085 1241 1690 1947
12 20 28 41 62 76 96 109 161 232 277 336 401 443 503 576 667 750 818 864 937 1144 1263 1504 2117
12 20 27 39 61 76 92 114 160 193 248 331 380 469 497 562 672 723 817 842 1016 1126 1281 1545 2437
11 17 28 47 48 66 83 135 165 192 293 309 383 444 541 604 676 739 788 916 967 1108 1165 1488 1997
12 17 25 35 58 79 104 127 165 219 239 354 419 431 555 606 655 758 790 887 931 1079 1281 1696 1921
13 20 34 42 54 66 91 134 174 194 288 334 417 445 548 599 621 724 762 852 956 1038 1274 1559 2679
12 17 25 42 54 66 107 110 179 212 256 350 418 484 520 568 658 709 825 870 943 1104 1164 1514 2036
16 21 34 47 54 66 101 135 145 197 282 302 391 468 511 579 649 689 780 917 995 1139 1272 1715 1872
13 20 27 35 50 69 94 141 162 183 279 320 416 472 492 607 673 757 828 892 1011 1151 1181 1857 2576
15 21 28 41 49 81 93 137 147 221 268 301 373 431 530 602 626 754 786 850 920 1097 1246 1621 2328
15 24 27 35 63 71 86 132 147 211 259 355 389 448 525 588 625 747 831 854 973 1142 1217 1531 2082
12 23 29 42 59 69 103 118 172 217 271 299 382 475 495 598 658 743 814 910 933 1029 1164 1684 2644
16 19 33 38 52 66 97 139 168 192 275 326 385 439 506 583 645 750 810 853 938 1066 1214 1664 3095
11 24 34 47 58 81 94 118 154 191 241 350 400 431 512 568 640 757 827 912 933 1028 1281 1805 2226
11 21 32 40 57 74 103 114 156 222 288 299 402 458 526 558 637 723 811 846 960 1129 1294 1588 2538
11 19 28 44 55 75 108 119 169 234 238 357 402 436 511 589 679 759 819 898 942 1030 1185 1548 2005
13 21 27 35 58 80 91 121 175 185 263 300 419 458 552 561 673 734 814 915 949 1092 1293 1411 2666
16 23 30 39 48 81 82 138 175 191 237 350 381 441 531 594 665 700 811 879 919 1058 1339 1604 2636
11 21 30 46 48 68 86 133 157 182 240 343 407 428 523 599 623 711 779 877 960 1022 1252 1465 3761
11 18 28 37 58 77 94 122 148 225 293 315 406 444 547 573 635 689 837 876 928 1085 1347 1419 2221
13 21 32 47 53 64 90 110 143 190 270 333 421 450 504 609 633 749 768 918 937 1151 1236 1657 2138
11 23 29 46 62 69 83 116 177 231 264 355 411 423 514 562 679 738 789 852 939 1074 1206 1435 2088
16 20 26 38 61 64 86 127 162 200 269 325 386 437 533 595 678 723 785 882 1004 1023 1374 1772 2553
15 18 32 40 57 75 101 125 148 227 244 300 418 430 492 582 655 709 772 860 968 1022 1187 1525 2959
11 18 29 42 53 65 99 124 158 191 282 349 383 468 491 617 643 744 808 848 1012 1019 1166 1436 3764
12 24 26 38 54 72 85 122 146 193 280 327 368 470 548 620 629 749 776 842 978 1046 1352 1709 2229
16 21 34 47 48 67 82 113 180 225 261 307 420 459 551 586 657 745 828 903 974 1060 1378 1617 2286
11 18 34 40 60 76 95 121 175 188 270 332 396 478 501 615 625 742 787 864 963 1059 1193 1552 2254
13 18 29 43 51 77 94 131 152 219 286 326 389 470 521 557 671 689 824 866 941 1133 1258 1625 2704
15 23 26 44 58 77 94 122 160 197 257 324 388 479 492 585 651 737 812 877 930 1093 1318 1713 3140
16 23 28 38 63 64 105 111 173 226 265 317 413 437 547 617 623 692 763 851 969 1148 1345 1465 2821
13 23 30 40 62 76 95 125 181 209 285 352 394 459 504 570 621 705 823 910 970 1019 1276 1551 2638
11 24 31 40 50 73 83 109 151 186 242 317 397 442 505 602 639 749 768 883 981 1031 1185 1526 2438
16 24 32 39 50 67 97 135 162 193 291 354 416 451 526 571 623 722 774 858 981 1034 1267 1564 2161
13 17 34 45 49 77 97 119 176 219 285 336 412 487 512 609 630 727 776 883 939 1035 1277 1683 2409
11 22 31 39 53 67 107 121 172 220 257 359 373 488 512 562 676 710 817 845 955 1101 1289 1489 2546
16 23 32 40 59 64 106 129 157 209 236 341 375 469 544 566 646 744 829 912 977 1073 1179 1509 2058
13 19 26 45 55 72 83 126 165 200 270 308 415 455 516 614 645 745 781 885 990 1089 1241 1637 4303
12 23 31 36 49 74 87 121 174 233 244 331 377 469 510 571 642 746 812 851 948 1060 1198 1423 2627
14 23 27 35 50 74 105 109 147 229 261 356 386 471 504 612 678 728 833 888 952 1024 1163 1665 4734
11 21 26 43 52 65 91 141 165 219 266 350 411 472 538 612 663 721 819 899 959 1030 1311 1423 4391
13 22 26 44 52 76 97 130 163 187 247 326 418 442 526 589 625 726 760 879 955 1090 1301 1757 2762
12 18 27 44 61 66 83 136 156 195 237 350 396 426 515 557 638 742 806 845 939 1058 1214 1615 4524
14 19 32 37 63 64 103 109 168 228 267 349 420 464 543 611 627 726 832 900 979 1147 1320 1380 2449
12 21 31 42 59 74 93 128 179 195 240 311 399 451 534 616 661 715 783 878 994 1033 1355 1438 4589
13 23 25 47 56 67 98 115 166 232 272 321 401 424 504 557 623 759 797 878 947 1037 1215 1580 2088
13 23 27 45 48 78 92 135 162 189 258 301 375 433 542 561 630 734 797 908 959 1064 1238 1397 1953
11 18 31 37 51 71 83 124 179 188 288 310 400 428 553 576 636 732 786 911 922 1101 1354 1635 2577
13 19 34 35 61 68 99 124 153 190 246 318 409 484 513 577 662 711 763 901 961 1069 1310 1612 1858
11 22 34 36 62 67 92 120 155 228 279 360 415 434 492 602 634 713 776 859 925 1143 1217 1672 3172
16 17 28 43 52 75 97 131 162 231 273 362 395 449 514 609 665 755 803 884 977 1118 1337 1386 3425
14 21 29 46 50 76 83 133 168 205 247 351 404 469 495 568 652 737 818 845 1010 1049 1373 1705 2513
15 21 30 41 62 81 105 121 157 206 252 340 377 471 527 565 658 753 771 875 1003 1041 1207 1437 2016
12 23 26 46 51 74 97 125 155 187 240 309 369 488 542 567 661 711 800 840 944 1034 1202 1723 2005
15 17 30 47 50 65 101 120 163 223 265 302 417 467 550 618 668 742 793 879 938 1098 1215 1494 2536
14 22 31 36 55 64 95 135 159 224 246 307 393 461 536 587 681 718 821 908 928 1026 1171 1487 2211
14 21 28 40 55 77 86 124 154 186 238 345 415 473 506 587 681 706 771 864 922 1051 1168 1429 2397
16 17 33 38 54 79 105 119 176 229 285 333 395 452 526 563 635 701 798 891 1000 1079 1264 1646 2603
16 24 25 36 55 80 104 115 157 219 272 312 400 450 535 588 677 703 821 916 960 1141 1324 1384 2165
12 22 26 42 62 67 86 127 148 191 243 316 375 480 517 562 646 731 767 910 957 1037 1196 1729 2129
16 19 32 41 49 68 84 130 177 218 245 359 386 447 518 613 667 693 790 857 1017 1081 1167 1744 1920
15 17 27 43 59 73 105 114 149 220 256 335 363 463 494 601 642 738 766 855 963 1129 1176 1400 4268
12 24 26 42 48 68 92 117 179 213 294 327 403 453 522 610 660 729 787 849 960 1144 1170 1793 2922
11 24 30 36 51 70 82 121 177 233 256 299 387 431 541 602 655 729 770 855 981 1056 1366 1618 2586
12 18 34 44 50 69 82 131 174 198 264 330 376 483 547 573 628 736 814 876 946 1110 1204 1551 1942
13 21 30 37 57 76 95 115 181 213 239 351 397 472 522 606 649 715 815 902 927 1023 1287 1396 2546
13 19 33 47 57 75 103 131 169 193 268 312 380 466 505 609 651 759 774 876 1017 1066 1370 1668 3480
14 23 33 44 62 69 88 116 151 192 257 337 381 467 507 619 650 723 807 838 978 1105 1183 1549 1956
11 21 25 45 51 69 88 116 167 200 255 297 401 478 533 604 653 752 800 897 997 1024 1170 1412 1924
13 17 25 45 58 72 91 120 181 228 254 353 393 437 524 579 635 732 768 842 920 1138 1294 1467 2462
15 24 27 44 61 69 98 126 170 225 266 359 396 459 549 556 650 688 785 856 982 1112 1173 1624 5684
16 17 33 36 61 65 87 122 156 219 242 346 402 476 525 592 624 708 825 845 977 1114 1316 1718 7748
16 18 30 42 49 79 85 140 158 230 243 323 414 467 550 620 660 724 807 900 968 1151 1322 1436 4048
14 17 33 35 51 73 106 135 168 189 266 324 406 427 551 589 658 750 792 861 931 1153 1222 1840 2259
13 20 34 39 59 74 85 118 154 230 258 296 420 487 546 561 629 751 830 887 980 1122 1317 1575 1876
13 22 34 46 51 76 82 118 176 198 260 315 377 427 544 599 654 726 760 842 957 1135 1346 1799 2259
15 18 27 39 52 69 82 138 152 195 244 316 414 427 504 577 647 738 818 878 937 1133 1194 1533 2177
16 22 27 40 59 69 95 122 166 208 270 301 368 470 524 582 625 731 760 861 1010 1081 1362 1560 1953
13 21 29 42 49 64 82 130 147 191 250 300 396 472 530 600 680 731 767 849 951 1046 1206 1817 6058
14 20 27 35 59 68 90 128 170 201 261 328 375 448 538 559 621 703 801 850 961 1084 1248 1567 8580
12 23 25 40 53 70 108 118 158 206 272 312 419 449 511 597 652 701 772 887 987 1027 1327 1483 3078
11 19 26 45 57 78 83 129 169 193 246 345 406 424 496 605 635 711 779 862 989 1118 1287 1465 4454
13 24 34 38 63 79 93 111 175 214 240 325 402 473 538 608 678 736 788 905 995 1151 1196 1518 2425
11 23 31 46 50 67 104 128 148 193 241 322 405 446 536 562 661 750 769 869 931 1051 1336 1505 2424
12 22 27 43 60 66 103 139 175 194 273 313 412 460 539 566 646 733 781 892 991 1144 1233 1570 2259
14 17 28 45 51 72 107 114 177 229 242 322 414 436 490 571 638 754 803 841 948 1077 1206 1417 2268
14 21 26 39 54 69 92 140 158 199 259 332 397 463 520 565 683 701 772 892 953 1092 1224 1552 2043
12 22 28 37 51 69 93 137 160 209 280 356 378 430 491 606 652 705 837 855 961 1070 1160 1825 1901
12 23 25 46 48 68 94 129 154 226 277 354 417 454 498 605 680 717 774 912 1008 1125 1321 1384 3392
14 22 29 36 48 67 104 123 168 183 287 316 411 426 494 585 632 690 819 885 1009 1031 1193 1649 2009
13 18 32 36 61 73 99 109 159 199 292 348 364 462 554 589 635 756 780 878 1014 1053 1366 1538 2822
16 17 29 37 60 65 94 137 178 187 252 326 363 434 502 560 633 712 785 899 958 1082 1228 1418 6217
13 20 29 35 57 65 85 118 159 205 240 333 396 425 548 588 652 739 800 916 994 1117 1302 1388 3575
12 20 28 39 60 70 107 132 171 223 268 325 390 486 506 581 658 707 832 909 921 1037 1301 1738 5142
13 20 33 36 48 71 105 115 160 211 272 344 421 479 514 561 634 743 814 838 1007 1050 1169 1492 4522
11 18 34 37 54 77 102 125 180 209 293 354 371 433 521 589 633 697 765 857 934 1144 1296 1752 5144
12 19 28 44 48 64 98 120 172 211 271 341 378 474 491 588 676 726 809 887 927 1078 1165 1719 4861
14 24 34 38 55 68 106 140 178 192 248 295 407 481 513 557 628 755 798 903 1014 1123 1357 1791 5487
12 20 26 43 54 76 106 113 152 234 254 346 408 485 532 582 654 758 768 890 1016 1033 1221 1744 3588
15 21 29 39 62 73 97 111 156 229 240 320 375 455 516 571 677 755 829 910 990 1132 1226 1593 2088
13 18 34 35 61 73 83 134 160 197 279 313 374 465 534 583 646 754 793 874 998 1032 1328 1417 1985
12 21 33 36 53 68 89 140 168 229 294 321 374 465 548 611 667 752 790 892 1008 1041 1271 1590 1969
16 17 29 35 60 72 98 130 168 194 280 349 371 452 537 585 637 701 824 908 948 1119 1169 1484 2130
15 20 28 36 50 69 92 122 154 206 263 338 399 480 522 595 671 691 836 862 979 1025 1222 1629 2472
11 20 29 37 62 64 91 117 143 212 242 296 382 449 521 559 628 754 817 869 951 1052 1281 1732 6612
13 17 28 35 52 76 88 109 152 185 261 354 374 481 555 569 646 755 825 877 987 1095 1254 1546 2625
12 24 34 36 55 77 90 123 142 193 271 302 419 449 553 617 624 706 780 904 984 1110 1171 1464 3414
15 18 32 41 62 78 94 127 143 189 276 325 377 450 540 588 682 717 768 867 951 1080 1361 1765 2693
14 19 29 44 60 78 94 109 173 223 285 313 364 469 541 580 624 735 767 909 963 1069 1282 1460 3258
15 23 31 42 63 80 91 140 152 216 247 354 375 468 505 578 668 703 802 910 949 1075 1216 1487 2466
11 23 29 46 54 69 96 114 145 203 262 301 375 427 551 604 655 699 789 857 941 1121 1163 1620 3466
12 17 28 42 56 79 105 141 157 222 239 332 381 448 551 573 687 720 827 897 937 1096 1248 1704 2439
11 23 30 44 52 64 84 138 165 196 238 329 403 473 509 575 664 716 775 903 924 1103 1240 1763 2443
13 21 27 41 58 67 82 138 172 230 244 325 387 428 515 614 655 723 803 889 962 1159 1379 1473 2606
12 17 30 42 57 73 85 119 146 200 256 323 388 443 531 566 667 709 764 855 959 1089 1174 1728 3660
