"pop=11" "pop=12.5" "pop=14" "pop=15.5" "pop=17" "pop=19" "pop=21" "pop=23" "pop=25" "pop=27.5" "pop=30.5" "pop=33" "pop=36" "pop=39" "pop=42" "pop=45.5" "pop=49" "pop=53" "pop=57" "pop=61" "pop=65" "pop=69" "pop=73.5" "pop=78.5" "pop=83.5" "pop=89.5" "pop=96.5" "pop=104" "pop=112" "pop=119.5" "pop=128" "pop=137" "pop=146" "pop=155.5" "pop=165" "pop=175.5" "pop=187" "pop=200" "pop=214.5" "pop=228.5" "pop=241.5" "pop=255" "pop=269.89" "pop=285.89" "pop=302.5" "pop=319.5" "pop=336.5" "pop=353.54" "pop=370.54" "pop=386" "pop=400" "pop=414.5" "pop=431" "pop=448" "pop=463.5" "pop=479.5" "pop=496.5" "pop=513.34" "pop=529.34" "pop=546" "pop=563" "pop=579.5" "pop=597" "pop=613.22" "pop=628.72" "pop=644.68" "pop=661.68" "pop=679" "pop=696.5" "pop=715.5" "pop=733.5" "pop=750.56" "pop=769.06" "pop=788" "pop=807.5" "pop=827.5" "pop=846" "pop=865" "pop=884.5" "pop=906" "pop=930.5" "pop=953.360000000001" "pop=976.360000000001" "pop=1003.82" "pop=1034.32" "pop=1064.28" "pop=1096.79" "pop=1137.01" "pop=1180.5" "pop=1227.2" "pop=1284.63" "pop=1348.09" "pop=1422.16" "pop=1512.5" "pop=1622" "pop=1770.58" "pop=1957.39" "pop=2227.43" "pop=2695.82999999999" "pop=5787.20999999999"
11 13 15 16 18 20 22 23 26 29 32 34 35 40 43 47 48 54 56 61 64 71 73 78 83 88 95 107 111 123 130 140 147 159 167 171 188 203 219 225 243 260 266 278 299 318 344 354 366 391 403 422 426 452 457 479 494 516 529 550 568 573 606 614 629 638 662 674 698 712 742 755 778 784 799 827 853 873 884 917 929 957 980 990 1040 1056 1099 1144 1165 1205 1291 1364 1421 1489 1654 1768 1883 2215 2657 3095
12 13 15 16 17 20 22 23 25 27 30 33 36 39 44 45 50 54 58 62 65 70 74 77 85 88 94 104 114 117 125 135 147 153 162 175 189 196 216 235 237 251 274 285 297 318 329 355 365 383 398 409 430 448 468 479 502 508 533 552 562 578 601 620 634 649 669 687 705 725 726 752 778 797 805 835 847 866 883 903 934 944 970 1007 1024 1051 1096 1126 1179 1246 1289 1344 1390 1560 1608 1722 1976 2209 2757 3761
12 13 15 16 17 20 22 24 25 28 31 34 38 39 42 46 50 54 56 60 64 70 72 81 86 92 97 104 110 122 130 141 151 160 161 172 191 195 217 234 239 253 277 289 295 314 336 355 378 382 397 412 429 456 466 473 496 521 537 549 567 574 595 616 626 644 653 680 693 725 734 747 774 797 813 831 839 871 893 908 920 961 982 1002 1035 1069 1085 1139 1172 1208 1281 1367 1429 1467 1578 1690 2000 2230 2437 3764
11 13 15 16 17 20 22 24 25 27 31 34 36 40 44 46 49 52 59 62 65 69 73 79 82 90 97 101 113 121 129 135 142 156 164 172 187 200 214 228 236 254 273 280 309 322 332 353 371 390 404 422 431 443 458 483 499 513 528 553 564 577 602 613 636 639 671 686 689 710 731 747 779 783 814 833 846 871 881 898 943 955 979 991 1028 1078 1101 1151 1190 1250 1283 1339 1384 1536 1631 1696 1966 2355 2679 3140
12 13 14 16 18 20 22 23 25 27 30 34 36 39 43 47 48 54 59 61 65 71 74 78 84 90 100 107 114 118 133 138 145 156 161 174 187 205 220 233 241 262 277 278 304 317 339 352 378 393 402 416 431 447 459 474 501 510 528 552 569 585 602 617 637 649 671 677 702 712 736 748 777 787 817 826 847 859 893 916 924 946 973 998 1020 1077 1090 1142 1163 1218 1255 1347 1444 1477 1634 1715 1916 2171 2576 4303
11 13 15 16 18 20 22 23 25 27 30 34 36 40 43 45 48 55 57 63 66 69 75 77 83 90 100 104 109 119 130 137 147 154 169 179 193 203 214 226 245 254 268 283 309 318 340 361 373 383 406 419 426 447 457 486 495 514 532 544 559 583 599 613 633 638 664 687 700 714 739 750 762 783 813 831 850 869 877 903 936 960 985 991 1048 1062 1102 1129 1189 1237 1274 1374 1443 1504 1613 1857 1899 2343 2644 4734
12 13 14 16 18 20 21 24 26 27 30 34 37 39 44 47 50 52 56 62 67 68 73 78 86 89 96 103 114 118 130 135 150 159 170 172 192 201 220 228 244 262 271 284 303 320 344 350 368 387 406 408 432 441 462 484 505 512 537 541 560 574 604 611 629 639 667 685 702 720 734 758 778 784 799 828 845 871 894 916 925 948 985 1013 1030 1076 1109 1151 1189 1209 1281 1352 1389 1467 1659 1805 1922 2117 2538 4391
11 13 15 16 17 20 22 23 25 29 32 34 38 40 44 47 48 55 56 61 66 70 73 78 82 89 94 102 110 122 126 134 142 152 169 175 183 207 215 225 245 257 275 293 307 325 343 356 373 380 401 421 432 451 466 477 493 506 531 555 571 579 606 619 621 652 655 672 700 723 738 757 769 787 804 824 843 860 891 917 938 957 975 1016 1028 1052 1109 1133 1178 1244 1258 1378 1383 1497 1621 1772 1895 2328 2666 4524
11 13 15 16 18 19 21 24 26 29 32 33 36 40 44 47 48 53 58 60 65 69 76 81 86 92 97 105 114 119 131 135 143 159 161 175 192 200 218 232 241 256 263 280 306 320 341 358 367 380 400 409 431 447 468 482 489 516 529 548 561 584 599 607 629 644 658 676 702 717 742 754 762 781 811 825 846 858 887 910 935 956 975 1000 1039 1073 1085 1148 1170 1227 1271 1318 1399 1513 1684 1709 1926 2082 2636 4589
12 13 15 16 17 19 22 23 25 29 30 34 38 40 43 46 50 53 57 63 67 71 76 81 83 93 94 103 110 118 129 141 150 154 165 177 191 206 208 234 239 249 270 282 309 326 335 347 374 383 402 409 431 455 465 484 501 511 525 552 569 582 602 619 632 651 658 673 689 717 737 747 779 784 801 828 855 875 892 912 937 960 987 1007 1046 1068 1108 1147 1200 1203 1297 1345 1437 1548 1664 1713 1999 2226 2553 3172
11 13 15 16 17 20 22 23 26 27 32 33 36 40 41 47 49 53 56 62 65 69 74 78 86 93 94 106 116 123 129 137 147 153 165 180 185 200 210 225 239 261 264 293 302 315 335 354 372 391 402 411 439 455 465 472 490 520 534 547 562 581 598 608 631 640 665 679 701 725 727 743 768 788 805 831 842 869 879 898 931 949 979 1016 1029 1059 1079 1143 1170 1240 1290 1320 1413 1522 1588 1757 1915 2221 2959 3425
12 13 14 16 18 19 22 24 26 28 31 33 37 39 41 46 48 52 56 61 66 68 75 78 85 87 99 107 113 117 127 139 149 159 162 175 191 194 209 231 248 256 269 289 301 325 337 350 374 389 407 421 431 450 460 475 494 511 529 548 568 575 589 607 626 643 655 673 688 717 728 750 772 790 802 827 853 856 877 915 943 960 985 995 1037 1052 1104 1118 1195 1241 1301 1355 1387 1550 1604 1705 1994 2138 2704 4268
11 13 14 16 17 19 21 23 26 29 31 33 38 39 42 47 48 52 59 63 66 69 75 79 82 89 95 101 111 120 132 138 144 160 168 173 182 197 210 227 239 259 270 284 299 327 329 355 373 382 406 421 436 443 469 478 504 506 530 551 568 575 594 609 622 642 657 679 701 713 726 757 776 780 816 819 842 864 876 918 920 963 964 1011 1038 1062 1097 1141 1165 1246 1277 1354 1465 1540 1657 1723 2042 2088 2821 3480
11 13 15 16 18 19 21 23 25 29 32 33 36 40 42 45 48 54 59 61 66 71 72 81 83 92 94 103 109 119 133 135 150 160 169 181 190 200 221 225 241 261 265 286 299 326 334 350 368 385 396 409 428 444 468 479 503 512 525 547 558 588 599 617 621 638 671 678 694 715 742 759 763 786 807 837 849 870 882 903 933 955 971 1004 1029 1054 1092 1129 1164 1217 1254 1337 1437 1495 1617 1729 1966 2229 2638 5684
12 13 15 16 18 19 21 23 25 29 30 34 38 40 41 45 51 54 58 62 66 68 76 81 83 91 94 107 109 119 127 141 142 154 162 176 191 197 220 226 238 257 270 286 300 324 336 357 373 381 394 419 423 445 458 487 497 511 526 544 561 576 595 620 626 650 663 676 689 723 726 749 768 789 806 828 843 860 877 910 938 948 967 1012 1028 1054 1085 1144 1181 1214 1263 1373 1410 1504 1625 1744 1870 2286 2438 7748
12 13 15 16 17 19 21 24 25 28 30 34 38 39 42 47 50 54 58 62 66 68 76 80 83 93 95 107 109 120 125 136 146 156 162 172 193 200 217 233 237 257 266 293 300 317 331 350 375 386 397 417 437 448 458 488 492 514 531 538 562 579 602 615 625 649 661 678 700 722 734 744 774 785 818 824 842 864 883 912 933 952 973 990 1030 1057 1093 1138 1164 1252 1281 1324 1399 1545 1564 1793 1875 2254 2409 4048
12 13 15 16 17 20 21 24 26 27 32 34 38 39 44 45 50 52 58 62 66 68 73 81 83 91 97 108 115 117 124 135 145 157 165 174 188 195 212 229 240 261 267 288 307 317 334 355 377 383 396 418 430 441 468 472 495 521 523 543 557 588 589 617 637 645 662 681 689 712 732 749 776 787 817 823 852 866 883 899 942 959 968 994 1022 1053 1101 1151 1185 1236 1281 1366 1424 1488 1683 1718 2057 2161 2546 6058
11 13 15 16 18 20 21 23 26 28 32 33 38 40 42 46 49 55 58 62 66 70 72 77 83 90 97 104 115 120 131 135 147 158 165 179 186 195 219 228 244 258 272 282 308 326 343 349 375 389 399 416 437 444 470 484 504 512 533 542 570 583 602 609 623 640 665 681 689 723 737 745 760 781 814 829 850 858 885 900 919 955 978 1010 1023 1062 1089 1153 1187 1206 1274 1370 1411 1559 1637 1840 2035 2058 2627 8580
11 13 15 16 17 19 21 23 26 27 30 34 38 40 43 46 49 53 59 61 64 69 74 77 86 87 97 107 114 117 125 140 147 152 163 179 193 205 212 232 242 252 273 279 311 321 333 352 377 388 401 419 426 450 459 488 492 512 526 553 571 573 601 614 635 643 658 677 692 724 742 749 763 783 810 833 854 859 888 908 928 947 974 1003 1022 1067 1090 1122 1166 1241 1272 1322 1465 1514 1665 1799 1892 2088 2762 3078
12 13 14 16 17 20 21 23 26 28 31 34 38 39 44 47 50 53 58 61 64 69 74 77 86 91 98 101 115 118 129 135 148 160 168 176 187 206 221 228 236 256 265 288 301 318 332 354 369 386 400 421 424 442 470 473 491 516 526 542 562 582 602 612 633 651 661 680 705 709 731 744 776 797 811 819 853 875 879 911 937 959 969 1000 1019 1073 1101 1135 1193 1214 1281 1317 1419 1531 1615 1817 1904 2211 2449 4454
12 13 14 16 17 20 22 23 26 27 32 34 35 39 43 47 48 54 57 63 65 69 76 77 84 93 99 103 116 118 126 138 143 157 166 177 189 198 211 231 244 256 272 293 310 312 336 359 375 393 395 411 433 451 459 480 501 510 534 550 566 586 606 612 629 639 668 678 706 723 738 745 771 797 814 832 846 864 878 901 939 961 970 1017 1046 1066 1098 1133 1185 1215 1294 1346 1435 1548 1580 1825 1866 2397 2577 3392
11 13 14 16 18 20 21 23 26 29 31 33 35 39 44 45 51 53 58 60 67 69 74 78 82 92 97 103 116 119 130 139 148 156 162 179 188 200 217 223 247 257 264 282 309 316 341 356 363 386 404 418 428 455 469 483 492 515 527 541 571 585 604 611 625 646 667 683 701 711 729 746 771 786 811 821 852 857 878 908 941 944 981 1017 1019 1058 1079 1118 1179 1238 1293 1362 1436 1525 1635 1738 1987 2165 2513 6217
11 13 15 16 18 19 22 23 25 28 32 34 35 39 44 45 50 55 58 61 64 69 75 81 82 92 97 108 111 121 128 140 146 153 162 177 190 198 222 224 237 255 268 280 302 327 331 350 376 387 395 420 434 442 469 472 504 513 536 547 557 576 592 616 623 645 660 680 703 723 729 759 767 793 808 821 848 856 884 916 930 960 981 997 1031 1074 1081 1151 1198 1217 1258 1327 1465 1552 1612 1752 1870 2129 2536 3575
11 13 15 16 18 20 21 24 26 27 31 34 38 40 42 46 51 52 57 60 67 69 76 77 85 92 95 101 114 122 124 137 151 155 168 174 187 195 219 229 240 254 266 286 307 312 340 350 377 380 400 413 431 451 471 478 505 514 526 549 557 577 589 609 621 642 655 676 693 709 736 755 766 790 812 825 842 861 879 910 939 957 977 1010 1034 1060 1110 1144 1163 1207 1276 1336 1423 1551 1672 1719 1859 2259 2603 5142
12 13 14 16 18 20 22 24 25 28 32 34 35 40 43 45 50 52 58 60 67 68 74 79 85 88 95 105 109 122 124 137 147 157 163 181 186 201 209 233 246 258 266 285 299 323 345 349 368 381 403 416 437 449 464 476 504 506 535 550 561 587 599 618 623 638 653 677 688 722 732 753 770 787 817 830 851 861 891 902 939 963 979 995 1035 1059 1105 1125 1202 1215 1267 1321 1423 1526 1646 1791 1989 2259 2922 4522
12 13 14 16 18 20 21 24 26 29 31 33 37 40 41 46 49 52 59 62 64 70 73 80 82 88 98 107 115 121 131 140 148 155 169 181 191 206 219 228 247 260 270 291 297 324 333 360 375 393 397 412 427 452 469 487 504 517 522 551 568 587 600 613 630 652 660 682 703 710 726 759 774 785 812 837 845 862 876 897 922 960 977 991 1024 1073 1112 1117 1171 1204 1277 1366 1380 1489 1618 1744 1959 2177 2586 5144
11 13 15 16 17 19 21 23 26 29 31 33 38 40 42 45 48 55 59 61 65 69 76 79 82 91 95 106 113 122 133 134 149 159 167 176 193 194 220 225 240 250 272 285 296 315 335 362 378 390 401 415 427 450 471 472 492 518 522 546 565 588 597 610 625 646 658 687 701 721 738 752 768 792 806 819 851 869 876 900 925 946 981 1008 1030 1060 1114 1144 1168 1222 1289 1357 1438 1509 1668 1732 1941 2259 2546 4861
11 13 14 16 18 19 22 24 25 29 30 34 38 39 41 46 51 55 56 60 66 69 75 78 82 87 94 105 111 119 125 140 151 154 170 175 192 199 209 230 246 261 273 288 301 316 330 351 364 382 396 411 427 447 467 473 495 507 533 544 567 573 605 609 627 642 654 674 701 715 731 750 760 788 803 832 845 857 887 905 938 957 978 1009 1033 1058 1081 1123 1196 1206 1311 1328 1397 1494 1624 1765 1882 2268 2462 5487
12 13 15 16 18 19 21 23 25 28 30 34 38 40 43 46 50 54 59 62 64 68 72 79 83 90 99 103 109 121 124 140 147 157 168 175 189 199 219 230 238 259 277 279 300 328 337 359 363 381 402 418 424 453 461 486 494 511 524 538 563 579 606 619 623 649 661 681 705 711 731 751 760 781 818 829 845 874 878 912 928 951 982 1014 1037 1064 1084 1132 1167 1248 1301 1361 1386 1487 1575 1704 1952 2088 2425 3588
12 13 14 16 17 20 22 24 25 27 31 34 36 40 42 47 51 55 57 62 67 70 73 77 85 93 94 105 109 121 127 141 148 156 166 177 191 205 219 229 243 252 268 285 295 312 345 351 371 387 406 420 436 448 463 479 505 520 525 538 562 577 605 620 630 651 658 680 690 713 736 750 767 780 800 824 840 862 887 899 922 961 977 994 1049 1069 1092 1119 1176 1233 1310 1379 1437 1551 1567 1763 2002 2130 2424 6612
12 13 15 16 17 19 21 23 26 27 32 34 35 40 44 46 49 52 57 60 67 71 74 77 83 92 98 101 114 120 130 138 143 158 170 178 193 197 218 226 245 254 272 294 296 325 332 353 378 388 396 409 430 449 466 474 504 506 524 539 556 582 589 608 636 650 654 680 697 711 733 754 772 785 798 836 855 869 892 916 927 948 968 1007 1041 1051 1082 1121 1170 1206 1264 1321 1429 1549 1570 1728 2051 2156 2822 3414
11 13 14 16 17 19 21 23 26 27 30 33 37 40 44 46 51 53 58 63 65 68 76 78 84 93 97 105 112 121 131 138 142 154 169 171 193 194 220 223 239 261 271 280 302 322 333 359 375 387 406 415 426 446 467 481 496 514 530 554 561 585 589 611 634 650 667 681 701 718 739 756 779 793 814 825 849 867 892 909 920 953 980 1014 1034 1056 1095 1159 1183 1224 1287 1361 1384 1467 1649 1730 1978 2262 2472 3258
12 13 14 16 17 19 22 24 25 28 30 33 37 40 44 47 51 54 59 62 64 68 72 78 82 89 98 104 112 120 131 141 143 152 168 180 183 206 213 234 242 262 263 287 301 313 344 346 374 382 402 417 434 454 459 485 490 521 536 548 559 588 595 617 635 647 671 672 691 715 726 743 769 790 815 827 855 857 885 903 931 961 987 1016 1026 1066 1110 1138 1170 1228 1294 1351 1400 1533 1593 1800 1947 2277 2625 3466
