"pop=11.5" "pop=14.5" "pop=18" "pop=22" "pop=26.5" "pop=31.5" "pop=37" "pop=43.5" "pop=51" "pop=59" "pop=67" "pop=76" "pop=87" "pop=100.5" "pop=115.5" "pop=132" "pop=150.5" "pop=170.5" "pop=194" "pop=221" "pop=248.5" "pop=278" "pop=311" "pop=345.04" "pop=377.54" "pop=407.5" "pop=439" "pop=472" "pop=504.84" "pop=538.34" "pop=571.5" "pop=604.22" "pop=636.400000000001" "pop=669.68" "pop=706" "pop=742.06" "pop=778.06" "pop=817" "pop=856" "pop=896.5" "pop=940.860000000001" "pop=991.18" "pop=1048.6" "pop=1118.78" "pop=1205.7" "pop=1315.86" "pop=1469.66" "pop=1708.58" "pop=2127.2" "pop=5488.62"
13 14 19 24 27 33 38 44 54 60 69 74 85 104 114 125 151 174 189 210 239 279 327 354 377 405 424 476 490 546 587 589 632 678 717 731 771 836 849 884 931 973 1058 1109 1215 1362 1549 1628 1978 2982
13 16 17 21 26 33 40 45 55 62 66 78 89 104 123 132 154 161 204 225 246 278 316 340 380 397 449 469 507 546 581 609 644 687 712 732 780 807 872 915 950 991 1055 1085 1209 1330 1510 1824 1932 2515
11 16 18 24 25 31 40 42 49 60 66 78 84 94 113 133 144 165 187 221 254 288 314 347 387 405 444 465 494 555 577 600 652 677 719 736 768 830 851 918 928 976 1072 1087 1171 1321 1382 1577 2295 2678
12 16 17 23 28 34 39 41 54 56 66 76 82 94 122 139 143 166 207 219 260 292 304 341 374 414 439 473 521 554 557 608 649 685 708 736 760 814 839 879 921 974 1044 1108 1182 1304 1428 1562 1873 2661
12 14 19 22 25 32 37 43 52 62 66 79 93 107 113 126 149 173 205 224 243 268 314 362 392 406 423 475 496 539 581 610 644 664 696 735 791 830 855 887 931 966 1042 1120 1249 1290 1497 1583 2035 3005
12 15 19 24 28 32 35 41 53 56 70 81 83 101 117 127 144 167 198 218 259 289 323 332 385 413 448 470 493 524 585 599 635 677 708 748 779 819 869 906 937 1015 1042 1135 1244 1278 1435 1624 2200 2456
13 14 19 22 25 33 39 47 54 60 67 74 93 108 120 130 151 162 182 209 253 275 325 329 383 409 423 474 490 533 562 617 641 683 714 732 787 811 854 888 935 1018 1051 1103 1202 1359 1400 1647 2014 4828
11 14 17 24 28 33 38 42 53 56 71 78 82 95 118 124 147 162 195 214 250 266 315 337 387 403 453 468 513 547 559 605 632 685 706 754 770 824 859 893 955 990 1032 1090 1182 1265 1516 1646 2095 3968
12 16 20 23 27 34 37 41 50 62 64 79 91 102 118 137 155 164 194 228 244 284 311 362 364 419 447 474 503 526 567 601 643 684 720 745 760 798 843 903 958 995 1033 1108 1185 1266 1491 1622 2141 2822
12 16 19 21 27 33 39 46 54 57 66 81 89 108 123 126 145 180 207 225 251 287 308 362 370 411 438 487 490 541 586 601 632 672 705 737 765 810 840 897 959 1004 1031 1133 1239 1368 1459 1685 1984 7533
13 14 19 21 28 31 39 47 55 56 66 78 86 103 116 124 150 168 198 223 244 271 302 346 369 410 429 479 502 550 570 619 621 669 706 755 787 801 875 909 936 988 1074 1094 1175 1362 1425 1773 2372 4740
11 16 19 21 28 34 37 45 53 61 66 72 91 104 114 133 150 173 198 230 236 284 314 359 390 413 427 461 504 537 565 618 643 673 694 750 796 833 873 915 939 1018 1038 1130 1243 1303 1505 1616 1981 3948
12 15 17 21 25 32 36 46 53 62 67 81 88 106 117 141 151 173 194 221 258 266 298 350 382 403 456 467 519 551 577 614 640 683 725 753 783 800 839 911 962 978 1072 1106 1205 1302 1474 1750 1867 5704
13 16 17 22 25 30 40 46 53 61 70 74 87 103 120 131 148 165 189 218 258 271 295 348 375 399 450 484 512 523 584 602 648 673 696 758 760 835 862 890 921 994 1028 1123 1174 1303 1479 1816 2103 5814
11 15 18 21 29 30 37 44 54 59 65 81 88 107 121 129 143 170 203 212 242 271 327 330 365 413 456 457 493 548 564 604 638 658 717 748 773 804 869 889 951 969 1060 1095 1195 1253 1382 1583 1998 2719
11 15 17 21 26 33 38 41 53 57 66 72 89 100 116 139 160 171 187 211 259 281 303 349 364 402 441 473 508 526 561 609 627 661 707 744 771 829 840 899 931 988 1053 1111 1190 1286 1486 1810 1993 2639
13 14 18 22 27 32 38 42 49 61 67 78 91 108 122 135 147 169 206 222 247 277 306 349 390 410 426 469 492 547 585 616 625 660 698 753 792 798 853 878 954 1011 1052 1145 1166 1302 1441 1720 1904 5024
12 15 17 23 27 32 40 46 53 62 64 75 85 95 118 140 143 173 187 218 256 272 298 345 386 411 437 488 496 528 564 613 635 662 721 745 785 803 856 887 955 1009 1060 1137 1238 1306 1497 1602 1894 5119
12 16 19 21 28 32 35 46 53 57 64 74 84 107 118 136 147 165 198 227 255 286 297 332 389 402 427 464 509 537 587 612 634 664 723 742 788 809 840 891 958 1015 1022 1095 1241 1358 1537 1612 1894 6295
12 16 18 22 26 34 37 46 55 62 71 80 91 94 122 125 158 163 195 211 262 275 319 336 379 420 433 461 507 554 577 606 633 682 698 735 797 811 841 888 963 998 1060 1110 1250 1319 1421 1688 2013 3129
11 14 17 22 27 32 39 45 54 60 71 79 83 108 116 136 148 162 191 222 260 274 328 361 384 419 436 477 517 555 556 604 642 668 694 742 772 830 858 902 957 988 1073 1081 1228 1275 1459 1699 2392 2501
13 14 17 22 25 30 39 45 49 63 66 74 84 96 119 139 148 171 195 214 248 289 310 333 364 400 449 462 510 522 587 610 627 683 699 735 760 815 866 893 941 986 1030 1103 1250 1265 1421 1728 1950 2523
11 15 17 24 25 30 40 45 53 57 67 77 85 108 120 127 152 179 190 208 236 278 297 357 382 415 449 474 491 548 587 591 646 656 688 757 779 800 867 876 961 1005 1067 1144 1243 1300 1501 1628 2096 2916
11 15 17 23 27 30 38 43 51 58 66 78 92 95 109 133 149 170 197 222 240 289 322 329 389 408 423 484 495 529 569 619 627 660 696 735 784 815 873 894 961 983 1048 1085 1231 1261 1525 1573 2346 2614
12 16 20 24 28 30 38 42 54 62 70 78 84 96 111 127 151 181 203 211 238 290 314 344 387 422 433 485 516 554 561 609 652 682 702 727 787 820 839 893 939 978 1054 1100 1215 1350 1403 1690 1904 3512
12 16 18 24 26 30 39 42 49 57 64 73 93 104 121 140 160 170 184 209 242 266 311 339 381 402 444 471 492 536 557 619 630 677 721 727 773 798 847 907 951 1002 1070 1084 1200 1354 1428 1625 1883 2872
11 14 18 23 26 30 39 43 49 63 71 77 86 103 123 135 152 173 186 219 249 288 302 352 367 406 448 477 517 543 561 604 630 668 715 740 782 822 853 903 928 971 1021 1135 1242 1364 1444 1823 1976 2575
13 15 18 23 28 31 35 47 54 59 68 72 90 107 109 130 147 166 186 226 249 276 308 344 386 419 425 468 505 553 581 598 650 660 699 737 763 799 842 918 936 972 1077 1079 1251 1365 1404 1626 2000 3344
12 15 17 23 26 32 40 47 54 61 65 74 85 104 117 129 147 178 192 216 238 278 322 339 391 409 440 478 517 524 587 603 621 680 707 743 784 805 854 891 919 994 1052 1124 1228 1335 1434 1804 1966 2961
13 15 20 21 26 30 36 42 48 56 64 77 88 104 122 128 152 170 182 217 258 268 311 354 376 405 451 471 500 531 581 599 646 658 708 733 785 813 842 878 934 989 1027 1110 1245 1272 1472 1690 1916 4024
11 15 20 24 29 31 36 44 52 62 65 75 82 101 116 127 159 164 186 214 248 285 312 344 375 411 440 464 518 542 556 601 641 664 704 735 771 826 857 904 921 965 1066 1157 1165 1313 1493 1808 1899 3456
13 16 19 21 28 31 39 44 49 63 70 73 82 107 121 130 155 176 189 226 236 264 310 350 367 422 449 481 515 535 569 595 634 684 707 744 768 820 849 891 929 980 1052 1099 1166 1320 1416 1650 2209 3802
12 14 20 24 29 33 39 41 51 56 70 77 86 100 118 125 158 171 196 232 250 277 321 336 382 409 444 482 507 542 568 615 627 657 709 735 762 819 849 887 945 973 1042 1096 1164 1339 1409 1654 1922 2660
11 15 17 21 25 30 35 47 48 63 65 78 92 100 119 135 155 167 195 235 253 273 314 352 374 412 424 479 491 539 568 599 642 658 712 739 790 837 869 884 959 980 1056 1124 1215 1324 1421 1671 2119 2497
13 14 20 22 27 30 36 45 49 61 71 75 88 98 116 141 152 162 182 220 255 289 309 340 366 422 443 469 494 543 575 618 630 656 698 749 778 835 853 907 957 1000 1051 1085 1245 1262 1513 1654 1895 4418
13 16 17 22 25 33 40 43 54 58 70 77 88 104 115 130 160 161 200 214 260 265 299 335 390 398 452 466 502 533 584 614 621 674 725 742 778 814 847 918 934 970 1069 1101 1205 1342 1390 1706 2142 2657
11 16 18 22 28 30 39 44 50 56 66 74 92 103 118 129 147 164 205 220 241 280 297 331 391 416 436 458 516 529 573 603 646 668 725 746 786 817 859 905 951 1014 1078 1090 1185 1291 1500 1837 1926 2757
13 15 18 22 27 32 38 46 50 59 70 74 84 97 109 133 159 181 203 226 237 278 314 354 375 405 437 479 496 543 578 620 638 656 701 755 781 823 875 902 920 982 1026 1102 1169 1344 1429 1608 2059 5396
12 15 18 24 27 33 36 47 55 59 71 81 90 102 116 130 155 178 182 215 251 269 328 344 383 399 448 464 499 550 574 616 629 687 697 726 774 820 859 917 953 979 1050 1158 1165 1289 1384 1578 1999 3514
13 15 17 22 25 32 36 47 52 57 70 79 90 99 122 137 159 161 201 218 253 283 295 355 366 403 456 473 517 533 577 599 649 680 699 755 788 813 873 883 950 973 1033 1133 1179 1281 1473 1631 1915 2437
11 16 18 22 25 33 36 42 51 56 67 75 86 98 119 140 153 169 184 223 254 273 318 355 382 406 443 457 507 552 585 606 634 686 698 734 784 799 866 893 957 1009 1027 1109 1246 1364 1444 1634 2371 2679
12 15 17 24 27 30 37 45 55 56 70 78 82 94 118 130 151 177 184 224 243 284 318 329 365 419 447 468 516 537 561 601 644 662 705 731 797 804 839 903 944 985 1077 1109 1208 1283 1559 1613 2281 2576
11 14 17 21 26 32 38 46 53 58 68 73 90 105 115 136 160 171 193 208 262 293 309 336 378 408 426 466 508 549 583 613 639 677 710 752 779 811 871 908 961 985 1062 1159 1250 1344 1443 1659 2318 2644
11 14 18 22 26 33 36 46 50 57 69 74 89 103 109 126 156 171 191 210 254 280 304 353 371 403 447 458 521 553 574 617 626 669 693 736 797 801 871 881 943 1013 1040 1133 1218 1255 1489 1772 2225 3095
12 16 19 24 25 31 39 47 51 56 71 77 89 96 123 137 142 170 188 209 262 273 309 352 378 421 430 459 513 528 579 613 636 653 689 747 777 831 859 898 955 975 1024 1147 1172 1274 1389 1768 2396 2538
12 16 19 21 25 33 38 44 53 56 66 72 92 106 112 131 145 169 207 230 257 267 314 332 373 403 429 457 501 528 568 611 649 671 702 747 762 805 846 893 946 990 1035 1085 1237 1281 1383 1722 2396 2666
12 16 17 23 27 33 36 43 48 63 70 73 83 107 111 140 156 175 189 226 237 282 303 361 368 409 441 483 495 532 562 595 637 687 700 748 783 825 869 877 960 1007 1076 1144 1190 1258 1560 1690 2201 2636
11 15 18 22 25 31 37 43 53 59 70 78 93 101 113 129 154 172 200 233 239 266 322 339 390 409 431 462 505 537 584 619 638 671 712 750 787 820 847 894 924 975 1052 1126 1209 1271 1467 1696 1994 3761
11 15 18 23 25 34 38 44 48 59 69 74 93 103 117 135 159 172 191 223 236 274 317 350 373 411 451 466 493 531 567 602 639 685 702 739 783 802 871 891 948 1002 1073 1108 1244 1297 1536 1715 2042 2553
12 16 17 24 29 34 36 44 50 60 71 78 87 107 111 129 152 161 187 210 241 293 307 340 367 398 431 474 489 529 564 602 633 664 714 758 778 827 860 916 957 991 1068 1079 1227 1290 1399 1857 1966 2959
13 15 20 24 25 34 40 44 50 58 65 75 85 99 120 141 159 165 206 225 245 277 318 344 374 421 426 486 501 552 582 599 652 667 700 757 784 835 850 903 936 987 1059 1104 1163 1367 1437 1621 1870 3764
13 15 17 22 29 33 38 43 49 63 67 73 86 98 119 135 147 165 200 221 244 289 320 343 393 397 432 468 510 525 569 607 629 672 702 754 787 831 858 916 925 998 1028 1139 1189 1301 1477 1684 1875 2704
12 16 19 22 29 34 38 41 52 61 65 73 82 95 119 138 150 174 187 235 245 273 306 341 383 404 432 484 514 544 559 619 621 676 689 747 769 833 875 887 938 979 1052 1151 1189 1277 1413 1664 2057 3140
13 16 19 21 26 32 40 45 52 62 66 81 84 94 114 137 154 179 193 234 256 284 325 335 372 402 447 465 490 534 581 608 644 655 720 743 781 826 869 917 935 991 1062 1097 1178 1254 1504 1805 2198 2821
13 16 20 23 27 30 39 41 48 58 69 81 89 97 120 135 142 162 192 220 249 286 309 335 387 406 455 465 512 529 575 604 651 658 701 750 784 816 845 892 937 1013 1054 1142 1203 1263 1387 1588 2035 2638
13 15 18 23 25 30 38 47 48 58 68 78 92 97 110 127 143 172 194 228 241 286 302 356 380 421 455 477 506 541 560 606 640 673 723 757 788 831 843 910 931 985 1020 1129 1170 1281 1467 1604 1892 2438
13 16 20 21 26 32 39 42 50 60 70 78 83 100 117 134 150 168 197 233 239 277 320 337 374 409 450 460 516 555 571 599 643 658 717 759 790 807 846 912 956 1016 1054 1092 1200 1281 1465 1657 2215 2409
11 15 20 21 28 32 38 42 48 62 66 76 91 107 120 135 153 169 183 226 239 293 301 358 380 406 443 482 494 548 575 607 642 679 688 734 762 828 855 898 943 1000 1057 1085 1170 1274 1497 1772 1904 2546
11 16 20 24 29 34 38 47 48 61 66 76 93 108 113 141 147 175 192 217 261 288 299 347 383 401 444 469 511 530 561 602 638 673 717 749 780 824 842 915 920 1007 1053 1151 1195 1272 1513 1709 1866 4303
11 16 20 23 25 34 40 41 54 58 66 79 86 100 114 137 149 175 191 228 248 282 326 329 391 419 431 484 504 525 569 598 650 665 725 738 786 806 856 879 933 964 1048 1133 1240 1281 1548 1617 1987 2627
13 16 20 24 29 30 38 42 54 63 66 81 91 96 117 132 159 177 185 212 239 279 299 334 373 417 445 468 503 526 588 589 629 679 701 744 779 818 853 877 938 971 1030 1093 1241 1294 1522 1625 1870 4734
12 14 17 21 26 31 39 47 54 59 66 81 82 104 109 139 144 162 191 225 256 268 300 336 389 418 431 472 497 552 576 594 632 678 717 749 768 817 842 876 933 1016 1028 1148 1165 1293 1437 1713 1859 4391
12 14 17 21 26 32 35 44 50 58 69 74 86 107 114 138 160 180 182 232 259 271 315 331 382 416 448 475 520 531 562 599 631 655 694 745 789 825 849 918 960 967 1039 1101 1164 1339 1410 1564 1989 2762
11 16 20 23 26 34 35 46 49 57 71 75 90 101 110 133 150 175 190 219 241 275 325 354 385 400 439 458 511 523 568 609 626 657 713 742 785 828 843 882 942 995 1046 1089 1181 1347 1550 1683 2209 4524
11 14 17 21 25 31 35 47 52 58 69 80 83 94 118 127 142 173 200 212 238 288 300 334 381 402 431 458 492 547 579 595 622 671 715 737 772 831 864 903 949 1011 1062 1090 1246 1374 1399 1637 1959 2449
12 15 20 21 29 32 38 46 55 58 66 81 86 103 118 125 146 181 191 221 237 263 327 350 386 402 436 468 495 533 588 617 621 676 723 749 776 814 842 877 919 973 1067 1147 1217 1352 1424 1665 2230 4589
12 15 19 23 28 31 40 42 48 62 68 77 85 97 114 124 160 162 193 211 240 293 307 355 383 419 441 470 506 548 583 620 649 678 722 727 787 810 852 910 960 1004 1029 1101 1164 1378 1540 1757 1941 2577
12 14 19 24 27 32 35 47 48 61 64 75 82 94 119 131 145 176 188 217 244 270 326 350 368 407 428 459 512 551 568 615 626 663 712 744 763 827 870 883 928 968 1073 1143 1214 1258 1495 1615 2355 3172
11 14 18 21 28 31 39 43 53 57 69 72 83 103 121 125 147 172 197 222 261 264 324 357 389 406 444 478 511 547 558 617 625 661 723 745 768 811 850 883 937 1012 1037 1118 1185 1318 1504 1580 1882 3425
12 16 20 23 25 31 37 44 53 60 64 76 83 108 122 135 147 165 186 234 257 269 317 350 388 421 450 470 504 526 561 602 645 662 724 746 774 819 854 912 939 978 1038 1098 1252 1345 1545 1635 2171 2513
13 16 18 23 25 34 38 45 54 58 65 77 87 94 110 129 154 174 193 225 242 282 317 343 373 411 423 479 514 544 573 609 640 665 709 728 776 814 853 885 963 974 1029 1079 1236 1276 1488 1612 1952 2536
12 16 18 23 27 34 40 45 48 63 67 77 91 101 116 126 156 165 200 231 257 280 308 333 375 418 437 459 492 538 562 614 637 658 689 726 781 811 846 888 941 969 1066 1141 1206 1267 1559 1672 2002 2603
13 15 18 24 28 30 38 43 51 62 64 76 83 99 122 141 157 163 187 227 236 270 326 355 377 420 430 487 491 526 582 612 623 661 723 742 760 837 852 899 930 970 1028 1081 1187 1277 1514 1705 2051 4268
12 14 18 24 27 30 40 44 50 59 67 73 93 95 113 130 148 168 195 225 244 286 311 349 386 396 437 488 501 543 586 612 635 668 700 726 783 808 860 879 939 981 1030 1129 1166 1289 1531 1723 2343 2922
11 15 17 22 29 31 38 44 50 61 67 77 92 94 121 136 143 179 195 219 261 265 321 332 375 413 442 469 521 534 557 589 633 681 711 759 797 828 848 900 955 981 1058 1144 1193 1311 1548 1646 1978 2586
11 16 19 23 28 33 40 42 49 63 64 72 83 94 122 128 148 166 189 226 247 285 301 352 377 394 451 469 492 542 585 611 643 681 689 734 797 824 842 878 948 977 1022 1110 1185 1301 1411 1729 1947 2546
11 16 18 23 27 32 40 47 53 59 65 74 92 105 111 135 158 162 188 209 237 291 310 354 369 397 455 471 504 553 570 616 629 677 723 732 786 812 864 878 952 990 1074 1105 1179 1320 1465 1744 2117 3480
13 14 19 23 28 30 39 45 55 56 66 74 83 95 109 124 146 179 190 219 240 285 318 336 393 416 442 472 505 527 571 602 625 667 709 755 763 823 866 908 959 979 1023 1138 1241 1355 1419 1793 1997 2462
11 15 18 21 29 34 39 43 49 61 64 76 86 97 119 124 152 162 205 220 258 270 309 359 375 412 426 464 512 542 562 609 651 660 689 737 776 817 851 911 955 994 1022 1112 1198 1354 1435 1618 1921 5684
11 16 19 22 26 30 40 46 50 62 67 74 86 97 121 131 160 168 206 209 246 266 302 341 386 415 451 484 512 550 566 618 623 655 692 753 771 829 858 901 939 977 1019 1114 1163 1310 1525 1668 2036 7748
13 14 17 21 29 33 36 41 52 62 71 78 84 107 121 133 151 163 187 233 247 267 307 331 363 411 424 469 516 536 571 613 621 653 705 742 793 812 845 884 947 1010 1046 1151 1214 1337 1436 1624 1872 4048
11 14 17 23 26 33 35 46 52 62 68 75 92 106 109 125 157 176 186 229 252 272 312 356 387 418 433 471 510 526 557 601 639 660 722 731 771 833 851 879 959 1003 1060 1153 1215 1373 1552 1718 2328 6058
11 14 17 23 29 33 37 47 48 59 67 76 82 105 109 135 147 177 191 219 240 288 316 350 376 396 428 488 504 535 557 610 623 658 710 738 767 819 845 908 922 1000 1059 1122 1238 1264 1465 1840 2082 8580
12 14 19 22 26 30 37 42 51 57 65 81 82 97 115 124 156 179 198 228 246 279 327 350 380 420 434 467 515 522 561 602 630 654 721 729 790 806 859 891 961 1017 1019 1135 1217 1324 1551 1575 2226 3078
11 16 17 21 28 33 35 41 52 57 64 74 88 103 120 127 153 177 193 232 238 273 299 349 381 399 449 461 504 541 576 606 646 680 715 729 766 832 845 916 925 981 1031 1133 1207 1366 1526 1799 2005 4454
13 14 18 21 26 34 36 43 50 62 67 77 88 98 121 130 155 174 192 228 243 265 312 360 393 401 452 473 513 547 577 609 645 678 711 736 787 803 875 910 944 1017 1034 1081 1202 1287 1489 1817 2221 2425
13 15 19 23 27 34 36 42 51 58 68 79 91 99 120 131 157 181 200 231 245 285 297 362 377 400 450 480 492 522 568 619 642 661 713 759 770 818 840 876 938 978 1035 1084 1215 1370 1509 1567 2138 2424
11 16 17 22 26 34 40 44 50 61 68 80 87 97 119 131 155 169 189 223 256 272 323 351 368 409 447 463 514 533 565 604 625 683 711 752 774 800 864 902 928 997 1073 1118 1171 1294 1423 1570 2088 3392
13 15 17 21 26 31 38 47 55 61 70 73 85 105 115 126 159 167 198 224 256 294 324 340 375 415 453 483 495 524 567 592 638 680 718 732 768 821 857 876 922 982 1060 1151 1168 1316 1423 1825 2229 2822
11 15 18 24 27 32 36 44 55 59 69 76 85 97 114 140 154 181 195 229 239 264 296 345 378 395 431 472 506 549 587 620 627 658 706 750 785 798 855 897 960 977 1024 1144 1196 1322 1380 1649 2286 6217
13 14 17 22 25 33 36 45 54 59 69 75 82 101 117 135 157 170 191 219 257 268 315 333 364 404 437 466 517 525 587 589 623 676 701 751 792 821 849 900 957 968 1030 1092 1167 1317 1438 1738 2254 3575
12 15 20 24 27 34 37 45 55 59 69 72 82 95 121 138 148 168 201 218 255 266 316 359 363 417 427 467 518 550 563 599 630 654 703 726 760 814 855 887 963 980 1058 1125 1176 1346 1397 1752 2161 5142
11 15 18 24 28 34 36 44 49 57 69 79 82 105 115 130 149 176 206 220 254 266 301 335 390 415 427 478 494 551 588 600 636 677 693 738 760 815 838 878 960 1010 1033 1082 1170 1362 1386 1719 2058 4522
13 16 20 21 29 34 35 42 48 63 65 73 90 104 116 128 151 166 193 213 242 270 300 330 371 395 427 459 505 546 562 597 634 667 715 731 767 807 842 887 946 987 1037 1117 1204 1327 1437 1791 2088 5144
12 15 19 23 26 33 39 46 51 60 69 74 83 105 116 129 156 170 193 233 243 272 328 351 378 400 448 476 507 544 573 605 652 671 723 731 772 800 856 905 927 989 1064 1144 1183 1287 1494 1744 1953 4861
12 15 17 21 28 34 39 42 50 61 69 76 93 95 120 128 158 169 194 213 258 273 312 337 375 403 449 467 504 524 579 608 635 682 688 736 779 825 845 892 920 995 1069 1123 1170 1336 1487 1593 1858 5487
13 14 18 24 25 32 40 45 51 60 64 78 92 103 122 139 154 175 199 228 260 280 325 353 374 397 424 487 511 530 556 606 646 668 708 750 788 807 861 892 931 991 1049 1132 1173 1321 1429 1590 2016 3588
13 14 17 22 26 31 35 46 49 57 68 79 93 98 118 140 152 175 183 225 244 277 322 359 374 401 446 470 496 538 561 605 642 655 724 733 769 830 842 912 957 1008 1041 1119 1222 1366 1384 1629 2005 2472
11 16 20 22 27 30 40 43 51 60 70 72 85 106 118 137 147 177 199 219 250 287 313 346 371 396 436 472 490 538 577 589 628 687 703 754 781 818 861 885 937 1009 1034 1095 1194 1302 1400 1732 2211 6612
13 15 20 21 26 30 38 45 51 62 67 73 83 95 122 129 158 168 187 230 261 292 322 345 382 402 430 473 520 536 582 589 649 664 701 756 772 801 849 878 951 1014 1026 1110 1206 1301 1551 1765 2397 2625
11 14 20 23 25 30 39 46 52 61 66 77 89 108 118 137 148 178 205 230 246 268 316 332 374 414 454 460 491 539 559 611 651 655 711 739 774 803 850 899 961 994 1051 1080 1248 1296 1396 1620 2165 3414
12 16 18 24 25 34 37 44 49 60 69 76 92 104 111 132 158 171 192 208 240 272 326 356 377 406 426 463 498 554 562 595 650 667 701 743 780 837 862 916 931 1007 1037 1121 1196 1357 1549 1704 2129 2693
12 14 19 23 27 30 36 43 53 62 69 73 91 103 114 125 160 180 197 214 241 293 325 354 364 420 434 462 494 548 566 617 635 674 705 726 785 819 869 909 948 1014 1056 1096 1233 1328 1412 1763 1920 3258
12 14 20 22 27 30 36 41 50 62 68 73 88 107 123 140 154 172 194 229 242 271 295 348 375 414 425 486 502 532 571 604 650 656 717 755 765 800 841 887 953 1016 1023 1103 1206 1271 1467 1728 1942 2466
11 16 18 21 27 32 37 44 51 60 67 72 90 94 109 134 159 178 206 209 259 279 320 333 375 396 433 479 506 534 565 614 624 681 690 758 768 832 855 903 961 990 1066 1159 1224 1281 1436 1730 1956 3466
12 15 17 22 29 31 35 42 54 63 65 76 91 104 118 140 159 168 185 226 252 294 313 344 381 419 455 474 514 548 585 620 629 680 712 755 793 814 838 890 958 998 1024 1089 1160 1254 1533 1595 1924 2439
13 14 20 23 27 34 39 46 51 56 65 77 84 99 115 130 160 168 193 223 240 280 321 354 387 406 452 481 521 537 560 617 647 680 707 754 790 809 857 910 921 1008 1046 1138 1193 1361 1560 1800 2259 2443
13 16 20 22 25 33 36 42 48 58 70 78 82 94 120 127 152 173 189 211 248 263 296 341 388 402 449 485 491 522 588 606 625 681 697 752 780 798 874 892 934 979 1027 1110 1228 1282 1483 1567 1876 2606
11 14 17 24 26 30 37 44 48 57 71 78 85 107 113 140 156 165 203 209 254 271 302 346 376 405 449 465 513 555 581 615 621 654 701 754 768 829 862 908 927 987 1051 1083 1169 1379 1465 1650 2259 3660
13 16 18 21 27 32 38 41 48 58 64 80 86 105 111 141 160 172 196 211 240 276 325 349 387 412 450 465 516 553 561 615 652 672 691 755 767 824 869 877 948 984 1077 1090 1165 1321 1518 1829 2177 2579
13 14 19 21 28 30 39 42 54 58 68 79 89 102 122 138 154 161 200 234 242 285 313 338 373 414 427 480 521 540 588 614 635 678 706 735 789 836 867 904 951 991 1070 1118 1221 1361 1505 1728 1953 3209
